1	"245,100"	"66,400"	3.69	44	industrial	farm	stb	repaid
2	"90,600"	"75,300"	1.2	41	industrial	farm	stb	repaid
3	"195,600"	"52,100"	3.75	37	industrial	farm	ftb	default
4	"157,800"	"67,600"	2.33	44	industrial	apartment	ftb	repaid
5	"150,800"	"35,800"	4.21	39	professional	apartment	stb	default
6	"133,000"	"45,300"	2.94	29	industrial	farm	ftb	default
7	"193,100"	"73,200"	2.64	38	professional	house	ftb	repaid
8	"215,000"	"77,600"	2.77	17	professional	farm	ftb	repaid
9	"83,000"	"62,500"	1.33	30	professional	house	ftb	repaid
10	"186,100"	"49,200"	3.78	30	industrial	house	ftb	default
11	"161,500"	"53,300"	3.03	28	professional	apartment	stb	repaid
12	"157,400"	"63,900"	2.46	30	professional	farm	stb	repaid
13	"210,000"	"54,200"	3.87	43	professional	apartment	ftb	repaid
14	"209,700"	"53,000"	3.96	39	industrial	farm	ftb	default
15	"143,200"	"65,300"	2.19	32	industrial	apartment	ftb	default
16	"203,000"	"64,400"	3.15	44	industrial	farm	ftb	repaid
17	"247,800"	"63,800"	3.88	46	industrial	house	stb	repaid
18	"162,700"	"77,400"	2.1	37	professional	house	ftb	repaid
19	"213,300"	"61,100"	3.49	21	industrial	apartment	ftb	default
20	"284,100"	"32,300"	8.8	51	industrial	farm	ftb	default
21	"154,000"	"48,900"	3.15	49	professional	house	stb	repaid
22	"112,800"	"79,700"	1.42	41	professional	house	ftb	repaid
23	"252,000"	"59,700"	4.22	27	professional	house	stb	default
24	"175,200"	"39,900"	4.39	37	professional	apartment	stb	default
25	"149,700"	"58,600"	2.55	35	industrial	farm	stb	default
